ActivityIdentifier,ActivityStartDate,ActivityStartTime/Time,ActivityStartTime/TimeZoneCode,ActivityEndDate,ActivityEndTime/Time,ActivityEndTime/TimeZoneCode,ActivityDepthHeightMeasure/MeasureValue,ActivityDepthHeightMeasure/MeasureUnitCode,ActivityDepthAltitudeReferencePointText,MonitoringLocationIdentifier,SampleCollectionMethod/MethodIdentifier,CharacteristicName,ResultSampleFractionText,ResultMeasureValue,ResultMeasure/MeasureUnitCode,ResultAnalyticalMethod/MethodIdentifier,ResultAnalyticalMethod/MethodIdentifierContext,ResultAnalyticalMethod/MethodName,ProviderName
WIDNR_WQX-7283728,1998-07-23,12:00:00,CDT,,,,,,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,ND,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-7286075,1998-08-02,10:00:00,CDT,,,,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,ND,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-7286075,1998-08-02,10:00:00,CDT,,,,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,*<0.01,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-7286075,1998-08-02,10:00:00,CDT,,,,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.025,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7286075,1998-08-02,10:00:00,CDT,,,,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,0.71,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-7286085,1998-08-02,10:00:00,CDT,,,,,,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,0.77,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-7286085,1998-08-02,10:00:00,CDT,,,,,,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,ND,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-7286085,1998-08-02,10:00:00,CDT,,,,,,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.028,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7286085,1998-08-02,10:00:00,CDT,,,,,,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,*<0.01,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-7286096,1998-08-02,10:00:00,CDT,,,,8.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.037,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7286103,1998-08-02,10:00:00,CDT,,,,10.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.107,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7286110,1998-08-02,10:00:00,CDT,,,,12.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.415,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7286117,1998-08-02,10:00:00,CDT,,,,14.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.487,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7286124,1998-08-02,10:00:00,CDT,,,,16.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.331,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7286131,1998-08-02,10:00:00,CDT,,,,18.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.471,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7286138,1998-08-02,10:00:00,CDT,,,,20.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.494,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7286138,1998-08-02,10:00:00,CDT,,,,20.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,1.99,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-7286138,1998-08-02,10:00:00,CDT,,,,20.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,1.44,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-7286138,1998-08-02,10:00:00,CDT,,,,20.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,*<0.01,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-7286149,1998-08-02,10:00:00,CDT,,,,22.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.494,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7290142,1998-08-18,10:00:00,CDT,,,,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,ND,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-7290142,1998-08-18,10:00:00,CDT,,,,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,ND,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-7290142,1998-08-18,10:00:00,CDT,,,,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.034,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7290142,1998-08-18,10:00:00,CDT,,,,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,0.75,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-7290153,1998-08-18,10:00:00,CDT,,,,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,0.70,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-7290153,1998-08-18,10:00:00,CDT,,,,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,ND,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-7290153,1998-08-18,10:00:00,CDT,,,,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,ND,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-7290153,1998-08-18,10:00:00,CDT,,,,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.027,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7292481,1998-09-02,11:00:00,CDT,,,,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.011,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-7292481,1998-09-02,11:00:00,CDT,,,,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,0.84,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-7292481,1998-09-02,11:00:00,CDT,,,,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,*0.021,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7292481,1998-09-02,11:00:00,CDT,,,,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,0.015,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-7292492,1998-09-02,11:05:00,CDT,,,,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,ND,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-7292492,1998-09-02,11:05:00,CDT,,,,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,ND,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-7292492,1998-09-02,11:05:00,CDT,,,,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,*0.020,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7292492,1998-09-02,11:05:00,CDT,,,,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,0.70,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-7292503,1998-09-02,11:10:00,CDT,,,,8.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.024,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7292510,1998-09-02,11:15:00,CDT,,,,10.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.026,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7292517,1998-09-02,11:20:00,CDT,,,,12.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.348,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7292524,1998-09-02,11:22:00,CDT,,,,14.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.031,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7292531,1998-09-02,11:25:00,CDT,,,,16.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.464,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7292538,1998-09-02,11:30:00,CDT,,,,18.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.034,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7292545,1998-09-02,11:32:00,CDT,,,,20.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,1.97,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-7292545,1998-09-02,11:32:00,CDT,,,,20.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.658,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7292545,1998-09-02,11:32:00,CDT,,,,20.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,ND,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-7292545,1998-09-02,11:32:00,CDT,,,,20.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,3.26,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-7292556,1998-09-02,11:35:00,CDT,,,,22.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.678,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7294669,1998-09-28,11:00:00,CDT,,,,,,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,*0.92,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-7294669,1998-09-28,11:00:00,CDT,,,,,,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.041,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7294669,1998-09-28,11:00:00,CDT,,,,,,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,ND,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-7294669,1998-09-28,11:00:00,CDT,,,,,,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,0.027,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-7294680,1998-09-28,11:10:00,CDT,,,,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.050,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7294680,1998-09-28,11:10:00,CDT,,,,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,ND,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-7294680,1998-09-28,11:10:00,CDT,,,,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,0.038,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-7294680,1998-09-28,11:10:00,CDT,,,,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,*1.08,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-7297042,1998-10-27,08:30:00,CST,,,,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.120,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7297042,1998-10-27,08:30:00,CST,,,,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,1.33,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-7297042,1998-10-27,08:30:00,CST,,,,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,0.257,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-7297042,1998-10-27,08:30:00,CST,,,,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.045,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-7297052,1998-10-27,08:45:00,CST,,,,,,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,1.17,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-7297052,1998-10-27,08:45:00,CST,,,,,,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.122,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7297052,1998-10-27,08:45:00,CST,,,,,,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,0.261,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-7297052,1998-10-27,08:45:00,CST,,,,,,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.044,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-7297063,1998-10-27,09:00:00,CST,,,,20.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,2.56,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-7297063,1998-10-27,09:00:00,CST,,,,20.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,3.75,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-7297063,1998-10-27,09:00:00,CST,,,,20.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.759,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7297063,1998-10-27,09:00:00,CST,,,,20.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,ND,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-7184565,1998-11-23,08:55:00,CST,,,,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.125,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-7184565,1998-11-23,08:55:00,CST,,,,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,0.512,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-7184565,1998-11-23,08:55:00,CST,,,,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,1.10,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-7184565,1998-11-23,08:55:00,CST,,,,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.148,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7184587,1998-11-23,09:00:00,CST,,,,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,1.30,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-7184587,1998-11-23,09:00:00,CST,,,,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.137,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-7184587,1998-11-23,09:00:00,CST,,,,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,0.520,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-7184587,1998-11-23,09:00:00,CST,,,,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.162,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7187582,1999-01-25,00:00:00,,,,,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.285,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-7187582,1999-01-25,00:00:00,,,,,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,0.489,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-7187582,1999-01-25,00:00:00,,,,,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.132,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7187582,1999-01-25,00:00:00,,,,,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,*1.10,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-7187593,1999-01-25,00:00:00,,,,,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,0.492,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-7187593,1999-01-25,00:00:00,,,,,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.135,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7187593,1999-01-25,00:00:00,,,,,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,*1.02,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-7187593,1999-01-25,00:00:00,,,,,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.270,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-7187604,1999-01-25,00:00:00,,,,,8.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.149,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7187611,1999-01-25,00:00:00,,,,,12.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.135,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7187618,1999-01-25,00:00:00,,,,,16.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.140,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7187625,1999-01-25,00:00:00,,,,,20.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,0.826,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-7187625,1999-01-25,00:00:00,,,,,20.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.240,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7187625,1999-01-25,00:00:00,,,,,20.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,*1.50,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-7187625,1999-01-25,00:00:00,,,,,20.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.422,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-7190456,1999-02-22,09:30:00,CST,,,,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,2.02,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-7190456,1999-02-22,09:30:00,CST,,,,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,0.383,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-7190456,1999-02-22,09:30:00,CST,,,,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.356,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-7190456,1999-02-22,09:30:00,CST,,,,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.137,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7190467,1999-02-22,10:00:00,CST,,,,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.356,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-7190467,1999-02-22,10:00:00,CST,,,,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,0.85,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-7190467,1999-02-22,10:00:00,CST,,,,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,0.375,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-7190467,1999-02-22,10:00:00,CST,,,,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.137,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7190478,1999-02-22,10:15:00,CST,,,,8.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.134,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7190485,1999-02-22,10:30:00,CST,,,,12.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.134,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7190492,1999-02-22,10:45:00,CST,,,,16.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.142,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7190499,1999-02-22,11:00:00,CST,,,,20.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.237,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7190499,1999-02-22,11:00:00,CST,,,,20.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,1.53,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-7190499,1999-02-22,11:00:00,CST,,,,20.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,0.880,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-7190499,1999-02-22,11:00:00,CST,,,,20.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,1.10,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-7192785,1999-03-29,08:45:00,CST,,,,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,0.120,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
WIDNR_WQX-7192785,1999-03-29,08:45:00,CST,,,,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.701,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-7192785,1999-03-29,08:45:00,CST,,,,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.140,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7192785,1999-03-29,08:45:00,CST,,,,0.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Kjeldahl nitrogen,Total,0.88,mg/l,351.2,USEPA,Total Kjeldahl Nitrogen by Colorimetry,STORET
WIDNR_WQX-7192796,1999-03-29,09:00:00,CST,,,,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Inorganic nitrogen (nitrate and nitrite),Dissolved,0.716,mg/l,353.2,USEPA,Nitrate-Nitrite Nitrogen by Colorimetry,STORET
WIDNR_WQX-7192796,1999-03-29,09:00:00,CST,,,,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Phosphate-phosphorus,Total,0.149,mg/l,365.1,USEPA,Phosphorus by Colorimetry,STORET
WIDNR_WQX-7192796,1999-03-29,09:00:00,CST,,,,4.0,m,,WIDNR_WQX-133318,GRAB SAMPLE,Ammonia,Dissolved,0.113,mg/l,350.1,USEPA,Ammonia Nitrogen by Colorimetry,STORET
